ID,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
155,175,1,1,0,14/07/15
156,63.6,1,2,0,15/07/15
157,124.45,1,1,0,15/07/15
158,110.7,0,0,0,16/07/15
159,74.07,0,0,0,19/07/15
160,134.1,0,0,0,19/07/15
161,167,0,0,0,11/07/15
162,123,0,2,0,10/07/15
163,117.81,1,2,0,10/07/15
164,171.32,0,1,0,10/07/15
165,210,1,0,0,10/07/15
166,97,0,2,0,10/07/15
167,117.81,0,2,0,10/07/15
168,0,0,2,0,6/07/15
169,0,0,0,0,6/07/15
170,131,0,0,0,7/07/15
171,98,0,2,0,8/07/15
172,87.3,1,1,0,8/07/15
173,97,0,1,0,9/07/15
174,167,0,0,1,3/06/15
175,91.5,0,0,0,10/07/15
176,73.8,0,1,0,10/07/15
177,123,0,0,0,11/07/15
178,175,1,0,0,11/07/15
179,117.8,1,1,0,12/07/15
180,117.63,0,0,0,12/07/15
181,185,0,0,0,13/07/15
182,71,0,1,1,26/06/15
183,47.25,0,0,0,13/07/15
184,151,0,1,0,14/07/15
185,87.3,0,0,1,14/05/15
186,120.6,0,1,0,16/07/15
187,63.86,0,1,0,16/07/15
188,157.1,0,1,0,16/07/15
189,91.37,0,2,0,16/07/15
190,73,0,0,0,17/07/15
191,110.7,0,0,0,20/07/15
192,93.6,0,0,0,20/07/15
193,83.5,0,0,0,13/07/15
194,73.8,0,1,1,7/05/15
195,82,1,2,0,10/07/15
196,185.5,0,1,0,10/07/15
197,0,0,1,0,7/07/15
198,0,0,1,0,7/07/15
199,109.8,0,3,0,8/07/15
200,195,1,0,0,8/07/15
201,109.8,0,3,0,8/07/15
202,193,0,1,0,11/07/15
203,97,0,2,0,11/07/15
204,150,0,1,0,11/07/15
205,98,0,0,0,11/07/15
206,91.5,0,0,1,28/05/15
207,139,0,2,1,13/04/15
208,79.5,0,0,0,14/07/15
209,47.25,0,0,1,25/03/15
210,126.65,0,1,0,21/07/15
211,107,0,1,0,11/07/15
212,131,1,2,0,12/07/15
213,131,1,1,0,12/07/15
214,123,0,1,1,28/05/15
215,146,0,1,0,12/07/15
216,110.7,0,1,0,12/07/15
217,73.8,0,1,1,29/06/15
218,61,0,0,0,9/07/15
219,104.72,0,1,1,8/07/15
220,104.72,0,1,1,8/07/15
221,104.72,1,1,0,10/07/15
222,66.42,0,1,1,28/05/15
223,77.96,1,1,0,14/07/15
224,112,0,1,1,15/04/15
225,107,0,1,0,15/07/15
226,89.68,0,0,0,15/07/15
227,155,0,0,0,15/07/15
228,112,0,1,0,16/07/15
229,130.1,0,3,0,17/07/15
230,100.1,0,2,0,17/07/15
231,123,0,3,0,10/07/15
232,124,1,1,0,11/07/15
233,146,1,0,0,11/07/15
234,97,0,0,1,2/06/15
235,123,0,1,1,16/06/15
236,153,0,0,1,16/06/15
237,82,0,2,0,12/07/15
238,105.08,0,0,1,23/06/15
239,65.42,0,0,1,27/06/15
240,98,0,1,0,13/07/15
241,75.46,1,1,0,14/07/15
242,65.5,0,0,0,14/07/15
243,90.95,0,0,0,16/07/15
244,93.6,0,0,0,16/07/15
245,119.25,0,0,0,16/07/15
246,134.73,0,0,0,16/07/15
247,112,0,1,0,16/07/15
248,118.13,0,2,1,13/05/15
249,131,0,0,0,11/07/15
250,88.2,0,0,0,12/07/15
251,73.8,0,1,0,12/07/15
252,98,0,0,0,12/07/15
253,110.5,0,1,0,12/07/15
254,131,0,1,0,12/07/15
255,185,1,1,0,12/07/15
256,87.3,0,2,0,12/07/15
257,73.8,0,1,0,12/07/15
258,120,0,1,0,13/07/15
259,98,0,1,0,13/07/15
260,96.3,0,2,0,13/07/15
261,197,0,1,0,14/07/15
262,197,0,1,0,14/07/15
263,123,0,0,1,29/06/15
264,82,0,2,0,15/07/15
265,165,1,3,0,15/07/15
266,149.4,0,0,0,15/07/15
267,106.84,1,2,0,17/07/15
268,161,1,1,0,17/07/15
269,134.43,0,2,0,17/07/15
270,144.43,1,2,0,17/07/15
271,152,0,0,0,17/07/15
272,125.54,0,3,0,17/07/15
273,133.83,0,2,0,17/07/15
274,159.75,1,0,0,18/07/15
275,120.6,0,2,0,19/07/15
276,112.2,0,0,0,20/07/15
277,110.6,0,0,0,21/07/15
278,105.9,0,0,0,23/07/15
279,95.27,0,3,0,17/07/15
280,108.83,0,1,0,17/07/15
281,153.96,0,0,1,29/05/15
282,120.6,0,0,0,16/07/15
283,90.67,0,1,0,17/07/15
284,126.67,0,0,1,8/06/15
285,144.4,0,1,0,17/07/15
286,99.5,1,2,0,17/07/15
287,139.4,0,1,0,18/07/15
288,73.8,0,1,1,22/04/15
289,89.97,0,1,0,15/07/15
290,123,0,0,0,15/07/15
291,123,0,0,0,15/07/15
292,123,0,0,0,12/07/15
293,144.9,0,1,0,12/07/15
294,153,0,0,0,12/07/15
295,131,0,1,0,12/07/15
296,100,1,0,0,13/07/15
297,65.5,0,0,0,13/07/15
298,123,0,1,0,13/07/15
299,123,0,0,0,14/07/15
300,131,0,0,0,14/07/15
301,104.68,1,0,0,18/07/15
302,166,0,0,0,18/07/15
303,111.25,0,2,1,19/05/15
304,213.75,0,0,0,19/07/15
305,178,1,0,0,21/07/15
306,113.9,0,1,0,18/07/15
307,129.29,1,0,0,18/07/15
308,153,1,0,0,13/07/15
309,98,1,2,0,13/07/15
310,169,1,2,0,18/07/15
311,93,0,2,1,12/05/15
312,132.29,0,0,0,19/07/15
313,123,0,1,0,19/07/15
314,117.22,0,1,0,12/07/15
315,149,0,1,0,19/07/15
316,164.57,0,1,1,29/06/15
317,107,0,0,0,19/07/15
318,117.22,1,2,0,19/07/15
319,119.25,0,0,0,19/07/15
320,123,0,0,0,19/07/15
321,105.71,0,0,1,3/07/15
322,123,0,1,0,19/07/15
323,144.43,1,2,0,19/07/15
324,126,0,1,1,19/06/15
325,148.3,1,2,0,21/07/15
326,125.22,0,1,0,21/07/15
327,123,0,0,0,23/07/15
328,130,1,1,0,23/07/15
329,133.16,0,1,2,12/07/15
330,78.84,0,0,0,19/07/15
331,80.1,0,0,0,13/07/15
332,193,0,1,0,14/07/15
333,88.2,0,0,0,14/07/15
334,90.71,0,0,0,14/07/15
335,114.5,0,1,0,14/07/15
336,120.2,0,1,0,14/07/15
337,79.5,0,0,0,15/07/15
338,117.9,0,3,0,15/07/15
339,128,0,0,1,22/06/15
340,90.95,0,0,0,16/07/15
341,107,0,2,0,16/07/15
342,130.05,1,1,0,16/07/15
343,123,0,0,0,17/07/15
344,103.8,0,0,2,12/07/15
345,196,0,1,0,17/07/15
346,149.4,1,0,0,17/07/15
347,175.71,0,0,0,20/07/15
348,119.7,0,2,0,20/07/15
349,100.86,0,1,1,13/05/15
350,100.86,0,0,0,20/07/15
351,82,0,3,0,15/07/15
352,73.8,0,1,0,15/07/15
353,117.9,1,0,0,15/07/15
354,82,0,3,0,15/07/15
355,150,0,0,0,15/07/15
356,161,1,2,0,15/07/15
357,64,0,2,0,15/07/15
358,123,0,0,1,18/06/15
359,110,1,0,0,16/07/15
360,88.2,1,1,0,16/07/15
361,130,1,0,0,16/07/15
362,88.2,0,1,0,16/07/15
363,165,1,1,0,16/07/15
364,114,0,0,0,17/07/15
365,79.5,0,0,1,24/06/15
366,132.8,0,1,1,5/03/15
367,120,0,2,0,18/07/15
368,79.5,0,0,1,23/05/15
369,120,0,0,0,18/07/15
370,144.2,0,1,1,22/06/15
371,107.2,0,0,0,18/07/15
372,120,0,0,1,1/06/15
373,120,0,2,0,18/07/15
374,163.8,0,1,0,18/07/15
375,98.5,0,2,1,24/04/15
376,130.5,0,0,1,12/05/15
377,153,0,0,0,19/07/15
378,98.5,0,2,0,19/07/15
379,119.7,0,2,0,20/07/15
380,184.6,0,1,0,20/07/15
381,181.22,0,2,0,20/07/15
382,100.86,0,1,1,15/04/15
383,100.2,1,3,0,14/07/15
384,134.25,1,0,0,17/07/15
385,96.3,0,0,0,21/07/15
386,83.09,0,2,0,22/07/15
387,105.5,0,0,1,3/07/15
388,134,0,0,0,15/07/15
389,8,0,1,0,15/07/15
390,146,1,1,0,16/07/15
391,126,0,2,1,27/05/15
392,111.15,0,1,0,18/07/15
393,136.2,0,2,0,19/07/15
394,101.8,0,0,0,19/07/15
395,127,0,1,0,20/07/15
396,161.5,0,2,0,20/07/15
397,230.67,1,2,0,20/07/15
398,65.7,0,1,1,6/04/15
399,180,1,2,0,21/07/15
400,168.57,0,1,0,21/07/15
401,107.67,0,1,1,11/04/15
402,96.9,0,1,1,11/04/15
403,107,0,1,0,23/07/15
404,73.41,0,0,0,25/07/15
405,109.9,0,2,0,28/07/15
406,109.9,0,2,0,28/07/15
407,187.5,1,3,0,29/07/15
408,134,0,0,0,15/07/15
409,91.5,0,0,1,3/07/15
410,132.44,0,0,1,27/06/15
411,106.9,0,0,0,21/07/15
412,131.86,0,0,1,25/06/15
413,216.13,1,0,0,23/07/15
414,107,0,0,0,17/07/15
415,107,0,0,0,17/07/15
416,107,0,0,0,17/07/15
417,107,0,0,0,17/07/15
418,107,0,0,0,17/07/15
419,190.33,0,1,0,24/07/15
420,107,0,0,0,17/07/15
421,94,0,0,0,17/07/15
422,0,0,0,1,13/07/15
423,98.75,0,0,0,17/07/15
424,148.23,0,0,0,17/07/15
425,94,0,0,0,17/07/15
426,107,0,0,0,17/07/15
427,107,0,0,0,17/07/15
428,148.23,0,0,0,17/07/15
429,0,0,0,0,17/07/15
430,107,0,0,0,17/07/15
431,107,0,0,0,17/07/15
432,107,0,0,0,17/07/15
433,107,0,0,0,17/07/15
434,98.75,0,0,0,17/07/15
435,195,0,1,1,2/07/15
436,120.6,0,1,0,18/07/15
437,123.2,0,0,0,17/07/15
438,112,0,0,1,5/06/15
439,123.2,0,0,1,16/07/15
440,169,1,1,0,17/07/15
441,198,1,0,0,18/07/15
442,103.5,0,1,1,2/07/15
443,135.6,0,1,0,18/07/15
444,103.5,0,1,0,18/07/15
445,184,1,0,0,19/07/15
446,134,0,0,1,13/07/15
447,147,0,0,1,19/06/15
448,151.33,0,0,1,30/06/15
449,121.33,0,1,0,19/07/15
450,150.2,0,1,0,21/07/15
451,139,0,0,1,7/07/15
452,150.2,0,1,0,21/07/15
453,75.44,0,1,0,20/07/15
454,135,0,0,1,13/06/15
455,166,0,1,0,22/07/15
456,135,0,0,1,11/06/15
457,130,0,0,0,23/07/15
458,96.3,0,0,0,24/07/15
459,160,0,0,0,30/07/15
460,0,0,1,0,17/07/15
461,127.25,0,1,0,19/07/15
462,164,0,2,0,19/07/15
463,144.5,0,0,0,19/07/15
464,112,0,0,0,19/07/15
465,134,0,1,1,6/07/15
466,127.25,0,1,1,13/07/15
467,155.5,1,0,0,19/07/15
468,110.5,0,1,2,17/07/15
469,144.5,0,0,0,19/07/15
470,144.5,0,0,0,19/07/15
471,123,0,0,0,19/07/15
472,120.6,0,1,0,19/07/15
473,107.6,0,0,2,17/07/15
474,120.6,0,1,1,4/07/15
475,107,0,0,0,22/07/15
476,133.75,1,0,0,22/07/15
477,103.5,0,0,0,22/07/15
478,84.8,0,1,0,22/07/15
479,107,0,0,0,22/07/15
480,107,1,0,0,22/07/15
481,84.8,0,1,0,22/07/15
482,107,1,0,0,22/07/15
483,195,0,1,0,22/07/15
484,164,0,0,0,23/07/15
485,195,0,0,0,24/07/15
486,125,0,2,0,24/07/15
487,195,0,0,1,24/06/15
488,132.3,0,3,0,24/07/15
489,145,0,2,0,24/07/15
490,92,0,0,0,24/07/15
491,132.3,0,3,0,24/07/15
492,147,0,2,0,25/07/15
493,167,1,2,0,25/07/15
494,210,0,1,0,25/07/15
495,194.9,0,2,0,27/07/15
496,103.5,1,3,0,20/07/15
497,118.5,0,3,0,20/07/15
498,192,0,1,0,20/07/15
499,128.27,0,0,0,20/07/15
500,135,0,0,0,20/07/15
501,126.3,0,2,0,20/07/15
502,154,0,0,1,24/06/15
503,96.3,0,0,0,20/07/15
504,126.3,0,2,0,20/07/15
505,136,0,0,1,17/07/15
506,118.5,0,3,0,20/07/15
507,116.33,1,1,0,20/07/15
508,164,0,1,0,21/07/15
509,147.67,0,2,0,21/07/15
510,145,0,0,0,24/07/15
511,147,1,2,0,24/07/15
512,168.3,0,0,1,18/07/15
513,167,0,0,0,25/07/15
514,137.75,1,1,0,25/07/15
515,145,0,0,0,22/07/15
516,132.6,1,0,0,22/07/15
517,147,0,0,1,29/04/15
518,157,0,2,1,4/06/15
519,210,0,0,1,11/06/15
520,132.5,0,0,0,23/07/15
521,98.02,0,1,0,23/07/15
522,126,0,2,0,23/07/15
523,173,0,1,0,19/07/15
524,249,0,0,0,19/07/15
525,186.5,0,0,0,20/07/15
526,95,0,1,0,21/07/15
527,241.5,0,2,0,25/07/15
528,177,1,0,0,25/07/15
529,153.73,1,0,0,25/07/15
530,115,0,1,0,25/07/15
531,127.03,0,2,1,24/06/15
532,128.25,0,1,0,25/07/15
533,128.25,0,1,0,25/07/15
534,115,0,1,0,25/07/15
535,135,0,1,0,26/07/15
536,167,0,0,1,1/06/15
537,135,0,1,0,26/07/15
538,124.5,0,0,0,1/08/15
539,98,0,0,0,20/07/15
540,98,1,0,0,20/07/15
541,135,0,0,0,20/07/15
542,88.2,0,0,0,20/07/15
543,120.6,1,1,0,20/07/15
544,154.5,1,2,0,21/07/15
545,145,0,0,1,23/05/15
546,92,0,0,0,23/07/15
547,154,0,0,1,29/06/15
548,115,0,1,0,24/07/15
549,110.53,0,0,1,19/06/15
550,158.5,0,1,1,17/06/15
551,131.37,0,1,0,26/07/15
552,117.71,0,0,1,27/05/15
553,123,0,1,0,26/07/15
554,158.5,0,1,1,17/06/15
555,117.84,0,2,0,26/07/15
556,154,0,0,1,19/06/15
557,116.85,0,0,0,26/07/15
558,129.16,0,1,0,25/07/15
559,214,0,0,1,29/06/15
560,115,0,2,1,2/07/15
561,123,0,1,0,26/07/15
562,123,0,0,0,26/07/15
563,195,0,0,1,14/07/15
564,135.2,0,0,0,29/07/15
565,123,0,2,0,2/08/15
566,130.5,0,1,0,25/07/15
567,123,0,0,0,21/07/15
568,179.1,0,2,1,13/05/15
569,0,0,0,0,20/07/15
570,0,0,1,0,20/07/15
571,115,0,3,0,24/07/15
572,115,0,0,0,24/07/15
573,103.5,1,2,0,24/07/15
574,157,1,0,0,24/07/15
575,135,0,1,1,15/06/15
576,111.65,0,0,0,24/07/15
577,135,0,1,1,15/06/15
578,195,0,0,1,17/06/15
579,104,0,0,0,25/07/15
580,135,0,0,1,8/06/15
581,214,0,1,1,22/06/15
582,133.17,0,0,0,26/07/15
583,141.33,0,1,1,22/06/15
584,121.01,0,1,0,27/07/15
585,240.64,0,0,1,20/07/15
586,167.5,0,0,0,27/07/15
587,152.43,0,3,0,27/07/15
588,148.34,0,0,0,27/07/15
589,167,0,1,0,27/07/15
590,172.93,0,1,1,11/05/15
591,179.1,0,1,1,23/04/15
592,192.5,0,1,0,27/07/15
593,92,0,0,1,2/06/15
594,111.2,0,0,1,1/06/15
595,141.6,0,1,0,30/07/15
596,141.6,0,1,0,30/07/15
597,141.6,0,1,0,30/07/15
598,200,0,0,1,14/07/15
599,200,0,0,1,14/07/15
600,157,0,0,1,8/07/15
601,99.5,0,0,0,23/07/15
602,115,0,2,1,1/06/15
603,195,0,0,1,19/06/15
604,103.5,0,0,0,25/07/15
605,207,1,0,0,26/07/15
606,163.33,1,1,0,27/07/15
607,151.86,0,0,0,28/07/15
608,95.57,0,1,0,28/07/15
609,112.05,0,1,0,29/07/15
610,160,0,1,0,30/07/15
611,103.18,0,1,0,31/07/15
612,153,1,0,0,23/07/15
613,119.75,0,1,1,22/04/15
614,135,0,1,1,9/06/15
615,167.69,0,1,0,26/07/15
616,195,0,1,1,9/06/15
617,135,0,1,1,9/06/15
618,178.4,0,0,1,29/06/15
619,0,0,0,0,23/07/15
620,0,0,1,0,23/07/15
621,154,1,1,0,24/07/15
622,134,0,0,0,24/07/15
623,112,0,0,1,5/06/15
624,194,1,1,0,26/07/15
625,153,0,0,1,7/07/15
626,135,0,0,1,19/06/15
627,184,0,1,0,26/07/15
628,210,0,0,1,6/07/15
629,139,0,0,1,7/07/15
630,101.46,1,0,0,28/07/15
631,145,0,0,1,4/07/15
632,173,0,0,1,6/07/15
633,217.05,1,1,0,31/07/15
634,164,0,2,0,26/07/15
635,173,0,2,0,26/07/15
636,112.5,0,0,1,22/07/15
637,153,0,2,0,26/07/15
638,173,0,2,0,26/07/15
639,153,0,2,0,26/07/15
640,134,0,0,0,26/07/15
641,153,0,2,0,26/07/15
642,233,0,2,1,14/07/15
643,154,0,0,0,26/07/15
644,173,0,2,0,26/07/15
645,135,0,1,1,6/07/15
646,132.5,0,0,1,1/07/15
647,222.67,0,0,0,27/07/15
648,135,0,1,1,6/07/15
649,107,0,0,0,26/07/15
650,127,0,0,1,17/06/15
651,135,0,0,1,18/06/15
652,149.7,1,1,0,28/07/15
653,161.25,0,0,1,8/06/15
654,107,0,0,0,28/07/15
655,75.44,0,1,0,29/07/15
656,75.44,0,1,0,29/07/15
657,115,0,0,0,31/07/15
658,159.2,0,1,1,14/07/15
659,163.29,0,2,1,22/04/15
660,210,0,0,1,25/05/15
661,154,0,2,0,1/08/15
662,166,0,0,0,2/08/15
663,132.5,0,0,0,3/08/15
664,107,0,0,1,26/06/15
665,121.98,0,1,1,21/07/15
666,0,0,0,0,25/07/15
667,133,0,0,0,28/07/15
668,107,0,0,0,26/07/15
669,117.81,0,0,0,26/07/15
670,107,0,0,0,26/07/15
671,120.6,0,0,1,11/07/15
672,147,0,0,0,27/07/15
673,153,0,2,1,14/07/15
674,153,0,1,1,10/07/15
675,134,0,0,1,23/07/15
676,153,0,1,0,27/07/15
677,118,0,0,0,28/07/15
678,134,0,1,0,29/07/15
679,135,0,2,0,30/07/15
680,158.77,0,2,0,30/07/15
681,134,1,1,0,30/07/15
682,134,0,0,1,26/06/15
683,142.03,0,1,0,30/07/15
684,240,0,0,0,30/07/15
685,134,0,0,0,31/07/15
686,134,0,3,1,2/06/15
687,147,0,0,0,1/08/15
688,176,1,0,0,1/08/15
689,120.6,0,1,1,27/06/15
690,166,0,1,1,12/05/15
691,134,0,0,1,17/04/15
692,147,0,0,0,1/08/15
693,167,0,1,0,1/08/15
694,107.2,1,0,0,1/08/15
695,131.63,0,0,1,3/07/15
696,233.05,1,0,0,2/08/15
697,90.12,0,1,0,2/08/15
698,120.6,0,1,1,29/06/15
699,125,0,2,1,15/04/15
700,154,0,1,1,29/06/15
701,120.6,0,2,0,4/08/15
702,114.25,0,1,0,6/08/15
703,107,0,0,1,3/07/15
704,88.55,0,0,0,1/08/15
705,149,0,1,1,25/03/15
706,195,1,0,0,1/08/15
707,164,0,0,1,8/06/15
708,154,0,1,1,15/05/15
709,120.6,0,1,1,18/06/15
710,103.5,0,0,0,29/07/15
711,115,0,3,0,29/07/15
712,95.02,0,2,1,3/06/15
713,132.5,0,0,1,25/06/15
714,209,0,1,0,31/07/15
715,95.02,0,2,1,3/06/15
716,132.5,0,0,1,25/06/15
717,180,0,0,0,2/08/15
718,103.18,0,0,0,28/07/15
719,174.01,0,1,0,2/08/15
720,133,0,1,1,17/06/15
721,133,0,1,1,17/06/15
722,107.2,0,0,0,2/08/15
723,0,0,0,0,27/07/15
724,210,0,1,1,3/07/15
725,145,1,0,0,29/07/15
726,195,0,1,1,3/07/15
727,124.2,0,1,1,15/06/15
728,167,0,1,1,15/06/15
729,145,1,0,0,30/07/15
730,166,0,2,0,30/07/15
731,115,0,0,0,30/07/15
732,166,1,2,0,30/07/15
733,120.6,0,0,1,17/06/15
734,162,0,2,0,31/07/15
735,153,0,0,0,31/07/15
736,133.2,0,0,0,31/07/15
737,134,0,1,0,31/07/15
738,107,1,2,0,31/07/15
739,145,0,2,0,31/07/15
740,145,0,0,0,31/07/15
741,107,0,1,1,29/06/15
742,167.2,0,0,0,31/07/15
743,134,0,2,1,9/05/15
744,130,0,0,0,31/07/15
745,164,0,0,1,17/06/15
746,149,0,0,0,31/07/15
747,154,1,0,0,1/08/15
748,195,0,1,0,1/08/15
749,134,0,0,1,25/06/15
750,107.2,0,0,0,1/08/15
751,164,0,0,1,6/07/15
752,183.45,0,1,1,17/03/15
753,159.6,1,1,0,2/08/15
754,120.6,0,0,0,2/08/15
755,164,0,2,1,13/05/15
756,219.43,0,2,1,13/05/15
757,134,0,2,1,13/05/15
758,164,0,2,1,13/05/15
759,107.2,0,0,0,3/08/15
760,102.72,0,1,0,3/08/15
761,114.85,0,1,0,29/07/15
762,114.85,0,1,0,29/07/15
763,135,1,1,0,30/07/15
764,195,0,0,1,7/07/15
765,173,0,0,1,27/07/15
766,107,0,1,0,1/08/15
767,107,0,1,0,1/08/15
768,164,0,2,0,1/08/15
769,138.8,0,1,0,2/08/15
770,154,0,2,1,16/07/15
771,135,0,0,0,2/08/15
772,103.18,0,1,0,3/08/15
773,115.5,0,0,1,22/05/15
774,90.95,0,1,0,7/08/15
775,0,0,0,0,29/07/15
776,108.54,0,1,1,4/04/15
777,146,1,2,0,2/08/15
778,165.4,0,1,1,2/07/15
779,134,0,0,0,3/08/15
780,133,0,1,1,27/07/15
781,240,0,0,1,22/06/15
782,157,0,1,0,3/08/15
783,188,0,0,0,30/07/15
784,133,0,1,1,27/07/15
785,145,0,1,0,3/08/15
786,134,0,2,0,3/08/15
787,134,0,0,1,23/05/15
788,186,0,2,1,10/07/15
789,90.95,0,1,0,5/08/15
790,141.65,0,0,1,8/06/15
791,99.24,0,0,1,5/06/15
792,108.06,0,1,0,4/08/15
793,90.95,0,0,1,15/04/15
794,148.63,0,1,1,17/06/15
795,173,0,3,1,16/07/15
796,107,0,0,0,31/07/15
797,114,0,0,1,30/07/15
798,153,0,1,1,30/07/15
799,153,0,1,0,1/08/15
800,250.33,0,2,0,2/08/15
801,146.67,0,2,1,6/07/15
802,154,0,2,1,30/06/15
803,120.6,0,0,1,11/06/15
804,280.74,1,0,0,30/07/15
805,193,0,1,0,3/08/15
806,146.67,0,2,1,6/07/15
807,154,0,2,1,30/06/15
808,154.5,0,0,1,9/06/15
809,120.6,0,0,1,11/06/15
810,137.8,0,0,1,8/06/15
811,160,1,3,0,8/08/15
812,125.89,0,1,0,8/08/15
813,125.89,0,1,0,8/08/15
814,126.71,0,0,1,24/06/15
815,0,0,0,0,31/07/15
816,0,1,0,0,31/07/15
817,188,0,0,0,1/08/15
818,153,0,2,1,6/07/15
819,173,0,3,1,16/07/15
